GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GENE_PRODUCT_SYNONYMS	GENE_PRODUCT_TYPE	GO ASPECT
UniProtKB	A0A087WXM9	MEIKIN	involved_in	GO:0045143	homologous chromosome segregation	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q5F2C3	9606	UniProt		MEIKIN	protein	P
UniProtKB	A0A087WXM9	MEIKIN	involved_in	GO:0045143	homologous chromosome segregation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5F2C3|ensembl:ENSMUSP00000091745	9606	Ensembl		MEIKIN	protein	P
UniProtKB	A0A087WXM9	MEIKIN	involved_in	GO:0051754	meiotic sister chromatid cohesion, centromeric	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q5F2C3	9606	UniProt		MEIKIN	protein	P
UniProtKB	A0A087WXM9	MEIKIN	involved_in	GO:0051754	meiotic sister chromatid cohesion, centromeric	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5F2C3|ensembl:ENSMUSP00000091745	9606	Ensembl		MEIKIN	protein	P
UniProtKB	A0A0B4J1S3	BIRC5	involved_in	GO:0007127	meiosis I	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O70201|ensembl:ENSMUSP00000079124	9606	Ensembl		BIRC5	protein	P
UniProtKB	A0A0B4J1S3	BIRC5	involved_in	GO:0007346	regulation of mitotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O70201|ensembl:ENSMUSP00000079124	9606	Ensembl		BIRC5	protein	P
UniProtKB	A0A3B3IS18	TBX1	involved_in	GO:1902808	positive regulation of cell cycle G1/S phase transition	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D4A2E9|ensembl:ENSRNOP00000002597	9606	Ensembl		TBX1	protein	P
UniProtKB	A0A499FJK2	TGFB1	involved_in	GO:0031536	positive regulation of exit from mitosis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P17246|ensembl:ENSRNOP00000028051	9606	Ensembl		TGFB1	protein	P
UniProtKB	A0A499FJK2	TGFB1	involved_in	GO:0051726	regulation of cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P04202|ensembl:ENSMUSP00000002678	9606	Ensembl		TGFB1	protein	P
UniProtKB	A0A590UJF1	STRA8	involved_in	GO:0051321	meiotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70278|ensembl:ENSMUSP00000031876	9606	Ensembl		STRA8	protein	P
UniProtKB	A0A590UJF1	STRA8	involved_in	GO:0090427	activation of meiosis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70278|ensembl:ENSMUSP00000031876	9606	Ensembl		STRA8	protein	P
UniProtKB	A0A804HJ87	RAD21L1	involved_in	GO:0007129	homologous chromosome pairing at meiosis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AU37|ensembl:ENSMUSP00000136918	9606	Ensembl		RAD21L1	protein	P
UniProtKB	A0A804HJ87	RAD21L1	involved_in	GO:0007130	synaptonemal complex assembly	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AU37|ensembl:ENSMUSP00000136918	9606	Ensembl		RAD21L1	protein	P
UniProtKB	A0A804HJ87	RAD21L1	involved_in	GO:0070197	meiotic attachment of telomere to nuclear envelope	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AU37|ensembl:ENSMUSP00000136918	9606	Ensembl		RAD21L1	protein	P
UniProtKB	A0A804HK41	ZCWPW1	involved_in	GO:0007127	meiosis I	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q6IR42|ensembl:ENSMUSP00000048730	9606	Ensembl		ZCWPW1,hCG_32539	protein	P
UniProtKB	A0A804HK41	ZCWPW1	involved_in	GO:0007129	homologous chromosome pairing at meiosis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q6IR42|ensembl:ENSMUSP00000048730	9606	Ensembl		ZCWPW1,hCG_32539	protein	P
UniProtKB	A0A804HLJ8	SHOC1	involved_in	GO:0000712	resolution of meiotic recombination intermediates	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2ALV5|ensembl:ENSMUSP00000103171	9606	Ensembl		SHOC1	protein	P
UniProtKB	A0A804HLJ8	SHOC1	involved_in	GO:0007130	synaptonemal complex assembly	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2ALV5|ensembl:ENSMUSP00000103171	9606	Ensembl		SHOC1	protein	P
UniProtKB	A0A804HLJ8	SHOC1	involved_in	GO:0007131	reciprocal meiotic recombination	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2ALV5|ensembl:ENSMUSP00000103171	9606	Ensembl		SHOC1	protein	P
UniProtKB	A0A8I5KVE8	BTG4	involved_in	GO:0045930	negative regulation of mitotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O70552|ensembl:ENSMUSP00000110074	9606	Ensembl		BTG4	protein	P
UniProtKB	A0AVK6	E2F8	involved_in	GO:0032466	negative regulation of cytokinesis	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q58FA4	9606	UniProt		E2F8	protein	P
UniProtKB	A0AVK6	E2F8	involved_in	GO:0032466	negative regulation of cytokinesis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q58FA4|ensembl:ENSMUSP00000056778	9606	Ensembl		E2F8	protein	P
UniProtKB	A0AVK6	E2F8	involved_in	GO:0032877	positive regulation of DNA endoreduplication	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q58FA4	9606	UniProt		E2F8	protein	P
UniProtKB	A0AVK6	E2F8	involved_in	GO:0032877	positive regulation of DNA endoreduplication	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q58FA4|ensembl:ENSMUSP00000056778	9606	Ensembl		E2F8	protein	P
UniProtKB	A0AVK6	E2F8	involved_in	GO:0033301	cell cycle comprising mitosis without cytokinesis	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q58FA4	9606	UniProt		E2F8	protein	P
UniProtKB	A0AVK6	E2F8	involved_in	GO:0033301	cell cycle comprising mitosis without cytokinesis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q58FA4|ensembl:ENSMUSP00000056778	9606	Ensembl		E2F8	protein	P
UniProtKB	A1L190	SYCE3	involved_in	GO:0007130	synaptonemal complex assembly	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:B5KM66	9606	UniProt		SYCE3,C22orf41,THEG2	protein	P
UniProtKB	A1L190	SYCE3	involved_in	GO:0007130	synaptonemal complex assembly	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:B5KM66|ensembl:ENSMUSP00000131766	9606	Ensembl		SYCE3,C22orf41,THEG2	protein	P
UniProtKB	A1L190	SYCE3	involved_in	GO:0007131	reciprocal meiotic recombination	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:B5KM66	9606	UniProt		SYCE3,C22orf41,THEG2	protein	P
UniProtKB	A1L190	SYCE3	involved_in	GO:0007131	reciprocal meiotic recombination	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:B5KM66|ensembl:ENSMUSP00000131766	9606	Ensembl		SYCE3,C22orf41,THEG2	protein	P
UniProtKB	A2PYH4	HFM1	involved_in	GO:0000712	resolution of meiotic recombination intermediates	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D3Z4R1|ensembl:ENSMUSP00000108310	9606	Ensembl		HFM1,SEC3D1	protein	P
UniProtKB	A2RUB1	MEIOC	involved_in	GO:0007130	synaptonemal complex assembly	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AG06|ensembl:ENSMUSP00000097947	9606	Ensembl		MEIOC,C17orf104	protein	P
UniProtKB	A2RUB1	MEIOC	involved_in	GO:0007141	male meiosis I	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AG06|ensembl:ENSMUSP00000097947	9606	Ensembl		MEIOC,C17orf104	protein	P
UniProtKB	A2RUB1	MEIOC	involved_in	GO:0007144	female meiosis I	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AG06|ensembl:ENSMUSP00000097947	9606	Ensembl		MEIOC,C17orf104	protein	P
UniProtKB	A2RUB1	MEIOC	involved_in	GO:0051310	metaphase chromosome alignment	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AG06|ensembl:ENSMUSP00000097947	9606	Ensembl		MEIOC,C17orf104	protein	P
UniProtKB	A2RUB1	MEIOC	involved_in	GO:0051729	germline cell cycle switching, mitotic to meiotic cell cycle	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A2AG06	9606	UniProt		MEIOC,C17orf104	protein	P
UniProtKB	A2RUB1	MEIOC	involved_in	GO:0051729	germline cell cycle switching, mitotic to meiotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AG06|ensembl:ENSMUSP00000097947	9606	Ensembl		MEIOC,C17orf104	protein	P
UniProtKB	A2RUB1	MEIOC	involved_in	GO:0070192	chromosome organization involved in meiotic cell cycle	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A2AG06	9606	UniProt		MEIOC,C17orf104	protein	P
UniProtKB	A2RUB1	MEIOC	involved_in	GO:0070192	chromosome organization involved in meiotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AG06|ensembl:ENSMUSP00000097947	9606	Ensembl		MEIOC,C17orf104	protein	P
UniProtKB	A6NCL1	GMNC	involved_in	GO:0045786	negative regulation of cell cycle	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1927344|PANTHER:PTN000332476|UniProtKB:O75496	9606	GO_Central		GMNC,GEMC1	protein	P
UniProtKB	A6NF83	NUPR2	involved_in	GO:0045786	negative regulation of cell cycle	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1891834|PANTHER:PTN000425213|UniProtKB:O60356	9606	GO_Central		NUPR2,NUPR1L	protein	P
UniProtKB	A6NGQ2	OOEP	involved_in	GO:0045836	positive regulation of meiotic nuclear division	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9CWE6	9606	UniProt		OOEP,C6orf156,KHDC2,OEP19	protein	P
UniProtKB	A6NGQ2	OOEP	involved_in	GO:0051293	establishment of spindle localization	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9CWE6	9606	UniProt		OOEP,C6orf156,KHDC2,OEP19	protein	P
UniProtKB	A6NHL2	TUBAL3	involved_in	GO:0000278	mitotic cell cycle	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0087040|FB:FBgn0260639|PANTHER:PTN000172598|PomBase:SPBC26H8.07c|PomBase:SPBC32F12.04|PomBase:SPBC800.05c|SGD:S000001857|SGD:S000004202|SGD:S000004550|TAIR:locus:2076750|TAIR:locus:2166469|UniProtKB:P10653|UniProtKB:P18695|WB:WBGene00006528|WB:WBGene00006529|WB:WBGene00006540	9606	GO_Central		TUBAL3	protein	P
UniProtKB	A6NK02	TRIM75	involved_in	GO:0007144	female meiosis I	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q3UWZ0	9606	UniProt		TRIM75,TRIM75P	protein	P
UniProtKB	A6NNZ2	TUBB8B	involved_in	GO:0000278	mitotic cell cycle	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0087040|FB:FBgn0260639|PANTHER:PTN000172598|PomBase:SPBC26H8.07c|PomBase:SPBC32F12.04|PomBase:SPBC800.05c|SGD:S000001857|SGD:S000004202|SGD:S000004550|TAIR:locus:2076750|TAIR:locus:2166469|UniProtKB:P10653|UniProtKB:P18695|WB:WBGene00006528|WB:WBGene00006529|WB:WBGene00006540	9606	GO_Central		TUBB8B	protein	P
UniProtKB	A8MT69	CENPX	involved_in	GO:0000712	resolution of meiotic recombination intermediates	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002010747|PomBase:SPCC576.12c|UniProtKB:A8MT69	9606	GO_Central		CENPX,FAAP10,MHF2,STRA13	protein	P
UniProtKB	A8MVW5	HEPACAM2	involved_in	GO:0007098	centrosome cycle	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN008689748|UniProtKB:A8MVW5	9606	GO_Central		HEPACAM2,MIKI,UNQ305/PRO346	protein	P
UniProtKB	A8MW99	MEI4	involved_in	GO:0007129	homologous chromosome pairing at meiosis	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8BRM6	9606	UniProt		MEI4	protein	P
UniProtKB	A8MW99	MEI4	involved_in	GO:0007129	homologous chromosome pairing at meiosis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BRM6|ensembl:ENSMUSP00000061341	9606	Ensembl		MEI4	protein	P
UniProtKB	A8MW99	MEI4	involved_in	GO:0042138	meiotic DNA double-strand break formation	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8BRM6	9606	UniProt		MEI4	protein	P
UniProtKB	A8MW99	MEI4	involved_in	GO:0042138	meiotic DNA double-strand break formation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BRM6|ensembl:ENSMUSP00000061341	9606	Ensembl		MEI4	protein	P
UniProtKB	B2RXH4	BTBD18	involved_in	GO:0007141	male meiosis I	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A0A0A6YY25	9606	UniProt		BTBD18	protein	P
UniProtKB	B2RXH4	BTBD18	involved_in	GO:0007141	male meiosis I	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A0A0A6YY25|ensembl:ENSMUSP00000142247	9606	Ensembl		BTBD18	protein	P
UniProtKB	C9JPR9	M1AP	involved_in	GO:0051308	male meiosis chromosome separation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z0E1|ensembl:ENSMUSP00000109613	9606	Ensembl		M1AP	protein	P
UniProtKB	C9JSJ3	MEIOSIN	involved_in	GO:0051321	meiotic cell cycle	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A0A5K7RLP0	9606	UniProt		MEIOSIN,BHMG1	protein	P
UniProtKB	C9JSJ3	MEIOSIN	involved_in	GO:0090427	activation of meiosis	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A0A5K7RLP0	9606	UniProt		MEIOSIN,BHMG1	protein	P
UniProtKB	D6R9G1	CDK7	involved_in	GO:0051726	regulation of cell cycle	ECO:0000366	IEA	GO_REF:0000108	GO:0004693	9606	GOC		CDK7	protein	P
UniProtKB	D6R9Z2	CDK7	involved_in	GO:0051726	regulation of cell cycle	ECO:0000366	IEA	GO_REF:0000108	GO:0004693	9606	GOC		CDK7	protein	P
UniProtKB	D6RAD4	CDK7	involved_in	GO:0051726	regulation of cell cycle	ECO:0000366	IEA	GO_REF:0000108	GO:0004693	9606	GOC		CDK7	protein	P
UniProtKB	D6REC6	CDK7	involved_in	GO:0051726	regulation of cell cycle	ECO:0000366	IEA	GO_REF:0000108	GO:0004693	9606	GOC		CDK7	protein	P
UniProtKB	D6RF14	CDK7	involved_in	GO:0051726	regulation of cell cycle	ECO:0000366	IEA	GO_REF:0000108	GO:0004693	9606	GOC		CDK7	protein	P
UniProtKB	D6RFL0	CDK7	involved_in	GO:0051726	regulation of cell cycle	ECO:0000366	IEA	GO_REF:0000108	GO:0004693	9606	GOC		CDK7	protein	P
UniProtKB	D6RGG9	CDK7	involved_in	GO:0051726	regulation of cell cycle	ECO:0000366	IEA	GO_REF:0000108	GO:0004693	9606	GOC		CDK7	protein	P
UniProtKB	D6RGH6	MCIDAS	involved_in	GO:0045786	negative regulation of cell cycle	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1927344|PANTHER:PTN000332476|UniProtKB:O75496	9606	GO_Central		MCIDAS,IDAS,MCI,MCIN	protein	P
UniProtKB	D6RI01	CDK7	involved_in	GO:0051726	regulation of cell cycle	ECO:0000366	IEA	GO_REF:0000108	GO:0004693	9606	GOC		CDK7	protein	P
UniProtKB	D6RIG9	CDK7	involved_in	GO:0051726	regulation of cell cycle	ECO:0000366	IEA	GO_REF:0000108	GO:0004693	9606	GOC		CDK7	protein	P
UniProtKB	D6W5U7	STAG3	involved_in	GO:0007129	homologous chromosome pairing at meiosis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O70576|ensembl:ENSMUSP00000040945	9606	Ensembl		STAG3,hCG_2024106	protein	P
UniProtKB	F6WQW2	RANBP1	involved_in	GO:0007051	spindle organization	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P34022|ensembl:ENSMUSP00000111309	9606	Ensembl		RANBP1	protein	P
UniProtKB	F6WQW2	RANBP1	involved_in	GO:0046604	positive regulation of mitotic centrosome separation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P34022|ensembl:ENSMUSP00000111309	9606	Ensembl		RANBP1	protein	P
UniProtKB	J3KNL2	SEPTIN1	involved_in	GO:0007056	spindle assembly involved in female meiosis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P42209|ensembl:ENSMUSP00000101921	9606	Ensembl		SEPTIN1	protein	P
UniProtKB	J3KNL2	SEPTIN1	involved_in	GO:0051311	meiotic metaphase chromosome alignment	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P42209|ensembl:ENSMUSP00000101921	9606	Ensembl		SEPTIN1	protein	P
UniProtKB	M0R2J8	DCDC1	involved_in	GO:1902412	regulation of mitotic cytokinesis	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001805421|UniProtKB:M0R2J8	9606	GO_Central		DCDC1,DCDC5,KIAA1493	protein	P
UniProtKB	O00213	APBB1	involved_in	GO:1902807	negative regulation of cell cycle G1/S phase transition	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P46933	9606	UniProt		APBB1,FE65,RIR	protein	P
UniProtKB	O00255	MEN1	involved_in	GO:0045786	negative regulation of cell cycle	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0031885|PANTHER:PTN000976222|RGD:3078|UniProtKB:O00255	9606	GO_Central		MEN1,SCG2	protein	P
UniProtKB	O00305	CACNB4	involved_in	GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D4A055|ensembl:ENSRNOP00000097125	9606	Ensembl		CACNB4,CACNLB4	protein	P
UniProtKB	O00327	BMAL1	involved_in	GO:0051726	regulation of cell cycle	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9WTL8	9606	UniProt		BMAL1,ARNTL,BHLHE5,MOP3,PASD3	protein	P
UniProtKB	O00401	WASL	involved_in	GO:0051653	spindle localization	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91YD9|ensembl:ENSMUSP00000031695	9606	Ensembl		WASL	protein	P
UniProtKB	O00409	FOXN3	involved_in	GO:0007095	mitotic G2 DNA damage checkpoint signaling	ECO:0000316	IGI	PMID:9154802	UniProtKB:P38111	9606	UniProt		FOXN3,C14orf116,CHES1	protein	P
UniProtKB	O00423	EML1	involved_in	GO:0007052	mitotic spindle organization	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q05BC3	9606	UniProt		EML1,EMAP1,EMAPL,EMAPL1	protein	P
UniProtKB	O00423	EML1	involved_in	GO:0007052	mitotic spindle organization	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q05BC3|ensembl:ENSMUSP00000105486	9606	Ensembl		EML1,EMAP1,EMAPL,EMAPL1	protein	P
UniProtKB	O00444	PLK4	involved_in	GO:0007099	centriole replication	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q64702|ensembl:ENSMUSP00000026858	9606	Ensembl		PLK4,SAK,STK18	protein	P
UniProtKB	O00712	NFIB	involved_in	GO:0010458	exit from mitosis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97863|ensembl:ENSMUSP00000052863	9606	Ensembl		NFIB	protein	P
UniProtKB	O00744	WNT10B	involved_in	GO:0000086	G2/M transition of mitotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P48614|ensembl:ENSMUSP00000023732	9606	Ensembl		WNT10B,WNT12	protein	P
UniProtKB	O00744	WNT10B	involved_in	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P48614|ensembl:ENSMUSP00000023732	9606	Ensembl		WNT10B,WNT12	protein	P
UniProtKB	O00744	WNT10B	involved_in	GO:0051726	regulation of cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P48614|ensembl:ENSMUSP00000023732	9606	Ensembl		WNT10B,WNT12	protein	P
UniProtKB	O00762	UBE2C	involved_in	GO:0030071	regulation of mitotic metaphase/anaphase transition	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0264848|PANTHER:PTN000630584|PomBase:SPCC1259.15c|UniProtKB:O00762	9606	GO_Central		UBE2C,UBCH10	protein	P
UniProtKB	O14578	CIT	involved_in	GO:0000278	mitotic cell cycle	ECO:0000250	ISS	PMID:11086988	UniProtKB:P49025	9606	UniProt		CIT,CRIK,KIAA0949,STK21	protein	P
UniProtKB	O14595	CTDSP2	involved_in	GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BX07|ensembl:ENSMUSP00000100891	9606	Ensembl		CTDSP2,NIF2,OS4,SCP2	protein	P
UniProtKB	O14746	TERT	involved_in	GO:1900087	positive regulation of G1/S transition of mitotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q673L6|ensembl:ENSRNOP00000076971	9606	Ensembl		TERT,EST2,TCS1,TRT	protein	P
UniProtKB	O14753	OVOL1	involved_in	GO:0044771	meiotic cell cycle phase transition	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9WTJ2|ensembl:ENSMUSP00000025861	9606	Ensembl		OVOL1	protein	P
UniProtKB	O14753	OVOL1	involved_in	GO:0051729	germline cell cycle switching, mitotic to meiotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9WTJ2|ensembl:ENSMUSP00000025861	9606	Ensembl		OVOL1	protein	P
UniProtKB	O14753	OVOL1	involved_in	GO:1901994	negative regulation of meiotic cell cycle phase transition	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9WTJ2|ensembl:ENSMUSP00000025861	9606	Ensembl		OVOL1	protein	P
UniProtKB	O14757	CHEK1	involved_in	GO:0000077	DNA damage checkpoint signaling	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35280|ensembl:ENSMUSP00000134388	9606	Ensembl		CHEK1,CHK1	protein	P
UniProtKB	O14757	CHEK1	involved_in	GO:0000086	G2/M transition of mitotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35280|ensembl:ENSMUSP00000134388	9606	Ensembl		CHEK1,CHK1	protein	P
UniProtKB	O14757	CHEK1	involved_in	GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91ZN7|ensembl:ENSRNOP00000011226	9606	Ensembl		CHEK1,CHK1	protein	P
UniProtKB	O14777	NDC80	involved_in	GO:0007057	spindle assembly involved in female meiosis I	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D0F1|ensembl:ENSMUSP00000024851	9606	Ensembl		NDC80,HEC,HEC1,KNTC2	protein	P
UniProtKB	O14777	NDC80	involved_in	GO:0008315	G2/MI transition of meiotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D0F1|ensembl:ENSMUSP00000024851	9606	Ensembl		NDC80,HEC,HEC1,KNTC2	protein	P
UniProtKB	O14777	NDC80	involved_in	GO:0051315	attachment of mitotic spindle microtubules to kinetochore	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000068311|PomBase:SPBC11C11.03|UniProtKB:O14777|WB:WBGene00003576	9606	GO_Central		NDC80,HEC,HEC1,KNTC2	protein	P
UniProtKB	O14944	EREG	involved_in	GO:0007143	female meiotic nuclear division	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9Z0L5	9606	UniProt		EREG	protein	P
UniProtKB	O14944	EREG	involved_in	GO:0007143	female meiotic nuclear division	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z0L5|ensembl:ENSRNOP00000003716	9606	Ensembl		EREG	protein	P
UniProtKB	O14944	EREG	involved_in	GO:0045840	positive regulation of mitotic nuclear division	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q61521	9606	UniProt		EREG	protein	P
UniProtKB	O14944	EREG	involved_in	GO:0045840	positive regulation of mitotic nuclear division	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:107508|MGI:MGI:1919170|PANTHER:PTN001643577|RGD:620275|RGD:620299|UniProtKB:P01135|UniProtKB:Q6UW88	9606	GO_Central		EREG	protein	P
UniProtKB	O14944	EREG	involved_in	GO:0045840	positive regulation of mitotic nuclear division	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61521|ensembl:ENSMUSP00000031324	9606	Ensembl		EREG	protein	P
